PRAHA 1,2.7
PRAHA 2,2.6
PRAHA 3,0.9
PRAHA 4,4.6
PRAHA 5,6
PRAHA 6,6.5
PRAHA 7,2
PRAHA 8,2.5
PRAHA 9,2.1
PRAHA 10,2.4
PRAHA 11,5.1
PRAHA 12,7.5
PRAHA 13,8.5
PRAHA 14,3.9
PRAHA 15,5.5
PRAHA 16,9.3
